"code","name","type","country","flavor_profile","origin","harvest_season","price_per_kg","price_per_pkg","sold_out","grade","altitude","density","processing_method","variety"
"S29-1","哥伦比亚 天堂庄园 Delagua 厌氧日晒","premium","哥伦比亚","养乐多、红糖、葡萄、菠萝干、蔗糖、青茶。","Sierra Nevada","2023","130.0","120.0","False","Supremo","2000M","883g/l","厌氧日晒","Castillo"
"S30-4","哥伦比亚 圣荷西庄园 兰姆酒桶发酵 水洗","premium","哥伦比亚","兰姆酒，麝香葡萄，樱桃，核果，酒香巧克力，莱姆香气, 酸值明亮带花香, 口感绵密转甜。","Caldas/Finca San Jose Estate","2024","360.0","","False","Supremo","1750M","842g/l","水洗法（兰姆酒桶发酵）","Castillo"
"S30-7","哥伦比亚 圣荷西庄园 威士忌酒桶 蜜处理","premium","哥伦比亚","熏衣草、薄荷、奶油香草酱、白葡萄酒、冰糖。","Caldas/Finca San Jose Estate","2023","350.0","","False","Supremo","1750 m","862g/l","威士忌蜜处理","Castillo"
"S30-9","哥伦比亚 苏利亚庄园 卡斯提优 香吉士日晒","premium","哥伦比亚","柳橙,菠萝,奇异果,红糖。","苏利亚庄园/Quindio金迪欧","2023","200.0","190.0","False","Supremo","1700-1850M","890g/l","橘子日晒","Castillo"
"S31","哥伦比亚 甲壳虫庄园 酒香日晒 黄哥伦比亚","premium","哥伦比亚","果酒香，葡萄干，凤梨蜜，肉桂，可可奶油。","托利马 庄 园： Finca El Escarabajo","2023","175.0","165.0","False","supremo","1700M+","874g/l","酒香日晒","Yellow Colombia"
"S31-2","哥伦比亚 蒙特布兰克庄园 瑰夏 冷发酵加强水洗","premium","哥伦比亚","姜花，柠檬草，橙子，红茶茶感，橘酸质，黄糖甜感。","Monteblanco/HUILA","2023","278.0","","False","supremo","1700-1850M","836g/l","冷发酵加强水洗","GEISHA"
"S31-4","哥伦比亚 蒙特布兰克庄园 紫卡杜拉 薄荷水洗","premium","哥伦比亚","薄荷巧克力、香蕉清冰、肉桂、冰糖。","Monteblanco/HUILA","2023","209.0","195.0","False","supremo","1700-1850M","829g/l","薄荷水洗处理","紫卡杜拉"
"S31-5","哥伦比亚 蒙特布兰克庄园 紫卡杜拉 荔枝气泡","premium","哥伦比亚","水蜜桃，百香果，黄柠檬，明亮柠酸，果茶茶感。","Monteblanco/HUILA","2024","209.0","195.0","False","supremo","1900M","853g/l","百香果酵母厌氧水洗","紫卡杜拉"
"S32-4","花月夜. 哥伦比亚 慧兰 艾斯维多加汀庄园 厌氧日晒","premium","哥伦比亚","菠萝、芒果、 荔枝、 哈密瓜","HUILA","2023","205.0","195.0","False","Supremo","1800m","863g/l","厌氧日晒处理","Caturra/卡杜拉"
"S32-5","玫瑰谷. 哥伦比亚 大树庄园 双重厌氧水洗","premium","哥伦比亚","草莓酱、水蜜桃、香蕉、蜜瓜。","Santander","2023","215.0","205.0","False","Supremo","1700m","865g/l","双重厌氧水洗","Caturra/卡杜拉"
"S32-6","哥伦比亚 平原庄园 粉红波旁 水洗","premium","哥伦比亚","芳香馥郁，红色水果，焦糖，西梅。","HUILA 庄 园 ： 平原庄园","2023","133.0","126.0","False","Supremo","1760M","856g/l","水洗处理","粉红波旁"
"S32-9","哥伦比亚 独木舟庄园 日晒 条纹波旁","premium","哥伦比亚","红酒，黑色莓果，柠檬，枫糖甜，层次丰富，BODY厚实。","HUILA 庄 园 ： 独木舟庄园 LA PIRAGUA","2023","203.0","192.0","False","Supremo","1800+M","904g/l","日晒处理","条纹波旁"
"S32-1","哥伦比亚 长白山庄园 Wushwush 低温慢速厌氧蜜处理","premium","哥伦比亚","百花蜜、蜜饯、白桃、柠檬干、高甜度。","Tolima/ Jairo Amaya","2022","169.0","","False","supremo","1500-1900M","923g/l","低温慢速厌氧蜜处理","Wushwush+Typica"
"S33","哥伦比亚 鲜花庄园 厌氧水洗 粉红波旁","premium","哥伦比亚","花香，血橙，莓果多汁，中等body。","HUILA 庄 园 ： 鲜花庄园/Las Flores","2024","222.0","210.0","False","Supremo","1900+M","904g/l","厌氧水洗","粉红波旁"
"S33-1","哥伦比亚 鲜花庄园 奇洛索 厌氧日晒","premium","哥伦比亚","草莓，芒果，百香果，水果糖，果汁感丰富，酸质明亮，中等body。","慧兰HUILA 庄 园 ： 鲜花庄园/Las Flores","2023","250.0","238.0","True","Supremo","1900+M","900g/l","厌氧日晒处理","奇洛索/Chiroso"
"S34","肯尼亚 基里尼亚加 多门处理厂 AA","premium","肯尼亚","白色花香，莓果，酸质明亮，口感干净。","Kirinyaga /Dormans处理厂","2024","115.0","105.0","False","AA","1700-2200M","875g/l","水洗处理","SL28，SL34"
"S34-1","肯尼亚 撒西尼庄园 PB TOP 圆豆","premium","肯尼亚","莓果，覆盆子，柑橘，小番茄。","Kiambu/Sasini","2023","80.0","70.0","False","PEABERRY","1680M","870g/l","水洗处理","SL28,SL34"
"S35","肯尼亚 涅里 AA","premium","肯尼亚","葡萄，乌梅，莓果，黑加仑，橘子，黄糖。","NYERI/ MATHARI","2024","98.0","88.0","False","AA","1800-2100M","897g/l","K72小时处理法","SL28，SL34"
"S37","肯尼亚 涅里 可里米里庄园 AA","premium","肯尼亚","黑醋粟，乌梅，青柠，橙汁，蜂蜜，酸甜平衡感好，口感圆润顺滑。","Nyeri/kirimiri","2024","110.0","100.0","False","AA","1735-1900M","806g/l","水洗处理","SL28"
"S38","肯尼亚 基里尼亚加 穆加亚处理厂AA 微批次","premium","肯尼亚","黑莓、黑醋栗、茉莉花、蓝莓酱、甜李、丁香，明亮适度的酸质，甜感好。","Mugaya处理厂","2024","130.0","123.0","False","AA","1750M","878g/l","水洗处理","SL28,SL34"
"S39","肯尼亚 基里尼亚加 康于处理厂AA 微批次","premium","肯尼亚","乌梅，橘子，红糖，茉莉花香，果汁感的酸度，风味清新。","Kabare合作社/ Konyui处理厂","2024","120.0","110.0","False","AA","1700-1900M","883g/l","水洗处理","SL28,SL34"
"S39-1","肯尼亚 基安布 卡林加处理厂AA","premium","肯尼亚","黑醋栗，蔷薇，葡萄柚，蜂蜜，黄油，甜感好。","Kiambu / Karinga处理厂","2024","100.0","90.0","False","AA","1840M","866g/l","水洗处理","SL28,SL34"
"S40","肯尼亚 基安布 吉提图 AB 精品","premium","肯尼亚","莱姆，哈蜜瓜，小红莓，青梅，红茶，坚果。","基安布/Gititu合作社","2021","75.0","","False","AB PLUS","1600m","881g/l","水洗处理","SL28，SL34"
"S41","肯尼亚 布阿尼 AA 微批次","premium","肯尼亚","白花，无花果，葡萄，橘子糖。","KIKAMBUANI处理厂","2021","75.0","","False","AA","1500-1900m","870 g/l","水洗处理（Washed）","SL28 & SL34"
"G1","金标批次 埃塞俄比亚 瑰夏村 批次094 瑰夏1931 日晒","premium","埃塞俄比亚","茉莉花，杏桃，熟葡萄，甜橙汁，绿茶。","OMA","2023","600.0","","False","G1","1931--2049M","835g/l","日晒处理","Gesha1931"
"G1-1","空运金标批次 埃塞俄比亚 瑰夏村 2024LOT 050 瑰夏1931 水洗","premium","埃塞俄比亚","红色花香，蔓越莓，热带水果，红糖，伯爵茶感。","OMA","2024","690.0","670.0","False","G1","1931--2049M","845g/l","水洗处理","Gesha1931"
"G1-2","空运金标批次 埃塞俄比亚 瑰夏村 批次104 瑰夏1931 日晒","premium","埃塞俄比亚","凤梨，哈密瓜，葡萄，菠萝蜜，高甜度，白色花香。","Surma","2024","690.0","670.0","False","G1","1909--2063M","838g/l","日晒处理","Gesha1931"
"G1-3","空运金标批次 埃塞俄比亚 瑰夏村 批次080 瑰夏1931日晒","premium","埃塞俄比亚","红色花香，苹果，百香果，草莓，高甜度。","OMA","2024","690.0","670.0","False","G1","1931--2049M","843g/l","日晒处理","Gesha1931"
"G2","空运红标批次041 埃塞俄比亚 瑰夏村 Illubabor Forest日晒","premium","埃塞俄比亚","水蜜桃，甜杏，柑橘，回味持久。","Gaylee 地块","2024","365.0","345.0","False","G1","1916--1982M","912g/l","日晒处理","Illubabor Forest"
"G2-1","埃塞俄比亚 瑰夏村 Gori 瑰夏种 红标批次046 日晒","premium","埃塞俄比亚","花香，杨桃，无花果，橙子，甜度佳。","Shaya地块","2024","365.0","350.0","False","G1","1926--2011M","873g/l","日晒处理","Gori 瑰夏种"
"S69-1","洪都拉斯 雪莉.洪都拉斯 莫卡庄园 威士忌酒桶发酵处理","premium","洪都拉斯","香草、威士忌、蜂蜜，奶油。","Masaguara","2024","185.0","175.0","False","SHG","1500-1700M","835g/l","威士忌酒桶发酵","卡杜拉 卡杜艾"
"S26","牙买加 蓝山 恩博庄园 NO.1","premium","牙买加","口感顺滑，芳香浓郁，甘、酸、苦均匀而强烈。巧克力、蓝莓、香醇。","amber","2023","680.0","","False","NO.1","1800M","847g/l","水洗处理","BLUE MOUNTAIN"
"S26-2","牙买加 川贝特庄园 蓝山NO.1 水洗","premium","牙买加","干香：烤山核桃、柑橘、焦糖、奶油、大红袍茶。湿香：甘草、蔗糖、香料、焦糖、奶油、黑巧克力、大红袍茶。口感：柔顺柑橘酸，酸甘苦醇均衡，余韵绵长，回甘清纯。","川贝特庄园","2022","500.0","","False","NO.1","1500M","882g/l","水洗处理","BLUE MOUNTAIN"
"S26-4","牙买加 蓝山 柯娜斯黛尔庄园 NO.1 水洗","premium","牙买加","花生酱、巧克力、焦糖、龙井绿茶、核果，均衡感好，层次丰富，有粘稠感，挂杯持久。","CLYDESDALE","2024","580.0","540.0","True","NO.1","1200 - 1400M","882g/l","水洗处理","BLUE MOUNTAIN"
"S26-5","牙买加 斯东尼庄园 蓝山一号 圆豆","premium","牙买加","香蕉、树莓、红色浆果的水果香气、甘蔗、覆盆子甜味明显、柠檬酸、苹果酸、口感跳跃有层次、复杂度高、 回味甜。","STONELEIGH","2024","630.0","600.0","False","Peaberry","1642M","843g/l","水洗处理","BLUE MOUNTAIN"
